Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(LIS),Portugal,Primeira Liga,Nuno Santos,2019,met expectation,0.6,0.3,3,1.935483871,6,567,5,0.84,0.5,10,1.68,2,1.55,0.26,Positive
(VGU),Portugal,Primeira Liga,Bruno Duarte,2019,met expectation,0.5,0.19047619,8,1.454545455,18,1684,16,0.9,0.380952381,42,2.37,6,5.5,0.31,Positive
(NAP),Italy,Serie A,Arkadiusz Milik,2019,met expectation,0.379310345,0.161764706,11,1.164021164,19,1870,29,1.47,0.426470588,68,3.45,7,9.45,0.48,Positive
(INT),Italy,Serie A,Romelu Lukaku,2019,met expectation,0.489361702,0.232323232,23,1.21436114,33,3156,47,1.41,0.474747475,99,2.98,3,18.94,0.57,Positive
(Sassuolo ),Italy,Serie A,Francesco Caputo,2019,met expectation,0.6,0.287671233,21,1.519536903,33,3125,35,1.06,0.479452055,73,2.22,3,13.82,0.42,Positive
(ROM),Italy,Serie A,Edin Dzeko,2019,Not met expectation,0.347826087,0.131147541,16,0.810536981,31,3075,46,1.42,0.37704918,122,3.77,4,19.74,0.61,Negative
(NAP),Italy,Serie A,Andrea Petagna,2019,Not met expectation,0.363636364,0.109090909,12,0.873362445,33,3263,33,0.96,0.3,110,3.2,3,13.74,0.4,Negative
(JUV),Italy,Serie A,Cristiano Ronaldo,2019,met expectation,0.392405063,0.149038462,31,1.134699854,33,3127,79,2.4,0.379807692,208,6.32,0,27.32,0.83,Positive
(SAS),Italy,Serie A,Domenico Berardi,2019,met expectation,0.304347826,0.116666667,14,1.28440367,29,2654,46,1.65,0.383333333,120,4.3,2,10.9,0.39,Positive
(CAG),Italy,Serie A,Joao Pedro,2019,met expectation,0.486486486,0.206896552,18,1.292175162,35,3394,37,1.04,0.425287356,87,2.44,1,13.93,0.39,Positive
(ATA),Italy,Serie A,Josip Ilicic,2019,met expectation,0.416666667,0.185185185,15,1.533742331,21,1786,36,1.91,0.444444444,81,4.31,5,9.78,0.52,Positive
,Italy,Serie A,Andreas Cornelius,2019,met expectation,0.6,0.260869565,12,1.880877743,17,1637,20,1.16,0.434782609,46,2.67,9,6.38,0.37,Positive
